nominatim_area,latitude,longitude
"231 bourke st, victoria, australia",-37.8134870,144.9668960
"380 elizabeth st, victoria, australia",-37.8098628,144.9614458
"alfred place, victoria, australia",-37.8138912,144.9700020
"birrarung marr, victoria, australia",-37.8190579,144.9743266
"bourke st, victoria, australia",-37.8153904,144.9589247
"bourke street mall, victoria, australia",-37.8138383,144.9644426
"chinatown, victoria, australia",-37.8118113,144.9676286
"city square, victoria, australia",-37.8159529,144.9671048
"collins place, victoria, australia",-37.2938630,143.7864597
"collins st, victoria, australia",-37.8151319,144.9675419
"elizabeth st, victoria, australia",-38.1882617,146.2499062
"errol st, victoria, australia",-37.8005797,144.9501439
"errol street, victoria, australia",-37.8005797,144.9501439
"faraday st, victoria, australia",-37.7990510,144.9712784
"flagstaff station, victoria, australia",-37.8118581,144.9560287
"flinders la, victoria, australia",-37.8187065,144.9593400
"flinders ln, victoria, australia",-37.8187065,144.9593400
"flinders st, victoria, australia",-37.8184161,144.9664779
"flinders street station, victoria, australia",-37.8184161,144.9664779
"grattan st, victoria, australia",-37.8008710,144.9685172
"harbour esplanade, victoria, australia",-37.8133401,144.9437932
"la trobe st, victoria, australia",-37.8095631,144.9636654
"lincoln, victoria, australia",-42.8476347,147.3527089
"little collins st, victoria, australia",-37.8126295,144.9725128
"lonsdale st, victoria, australia",-37.8137484,144.9573467
"lygon st, victoria, australia",-37.7777874,144.9707771
"macaulay rd, victoria, australia",-37.7943113,144.9292135
"melbourne central, victoria, australia",-37.8100099,144.9625031
"mcec, victoria, australia",-37.8232065,144.9560461
"monash rd, victoria, australia",-38.1853820,146.2959748
"new quay, victoria, australia",-37.8133640,144.9400655
"pelham st, victoria, australia",-37.8023570,144.9619721
"princes bridge, victoria, australia",-37.8192909,144.9683484
"queen st, victoria, australia",-37.8746838,144.8119291
"queensberry st, victoria, australia",-37.8041977,144.9603108
"queen victoria market, victoria, australia",-37.8073881,144.9573918
"rmit building, victoria, australia",-37.8090858,144.9639907
"royal pde, victoria, australia",-37.7948782,144.9580879
"sandridge bridge, victoria, australia",-37.8203106,144.9626580
"southbank, victoria, australia",-37.8253618,144.9640203
"southern cross station, victoria, australia",-37.8194303,144.9532226
"spencer st, victoria, australia",-37.8230178,144.9558744
"spring st, victoria, australia",-37.8135006,144.9741207
"st kilda rd, victoria, australia",-37.8410017,144.9773732
"state library, victoria, australia",-37.8081284,144.9631742
"swanston st, victoria, australia",-37.7382307,145.0530437
"the arts centre, victoria, australia",-37.8214220,144.9688490
"tin alley, victoria, australia",-37.7961006,144.9592028
"town hall, victoria, australia",-37.8166134,144.9670887
"victoria point, victoria, australia",-37.5092990,142.2223226
"waterfront city, victoria, australia",-37.8144196,144.9385993
"webb bridge, victoria, australia",-37.8235171,144.9473178
"westwood place, victoria, australia",-37.7059164,144.7040731
"william st, victoria, australia",-38.1853430,146.2960681
