Date,Hour,Bourke Street Mall (North),Bourke Street Mall (South),Melbourne Central,Town Hall (West),Princes Bridge,Flinders Street Station Underpass,Birrarung Marr,Webb Bridge,Southern Cross Station,Victoria Point,Waterfront City,New Quay,Flagstaff Station,Sandridge Bridge,State Library,Collins Place (South),Collins Place (North),Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),Bourke St-Russell St (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (South),Spencer St-Collins St (North),Melbourne Convention Exhibition Centre,QV Market-Elizabeth St (West),QV Market-Peel St,The Arts Centre,St Kilda Rd-Alexandra Gardens,Lonsdale St (South),Lygon St (West),City Square,Flinders St-Spring St (West),Flinders St-Spark La,Southbank,Queen St (West),Lygon St (East),Flinders St-Swanston St (West),Alfred Place,Lonsdale St-Spring St (West),Grattan St-Swanston St (West),Monash Rd-Swanston St (West),Tin Alley-Swanston St (West),Little Collins St-Swanston St (East),Flinders La-Swanston St (West),Pelham St (South),Melbourne Central-Elizabeth St (East),QVM-Queen St (East),QVM-Therry St (South),Faraday St-Lygon St (West),QVM-Franklin St (North),Elizabeth St-Lonsdale St (South),Collins St (North),Lincoln-Swanston (West),Lonsdale St - Elizabeth St (North),Bourke St Bridge,Bourke St - Spencer St (North),RMIT Building 80,Flinders La - Swanston St (West) Temporary,RMIT Building 14,Elizabeth St-La Trobe St (East),La Trobe St (North),231 Bourke St,Royal Pde - Grattan St,Swanston St - City Square,State Library- New,Flinders Ln -Degraves St (South),Flinders Ln -Degraves St (North),Flinders Ln -Degraves St (Crossing),Errol Street (East),Westwood Place,Flinders St- ACMI,Bourke St - Spencer St (South),Spring St- Flinders St (West),Macaulay Rd-Bellair St,Harbour Esplanade (West) - Pedestrian Path,Harbour Esplanade (West) - Bike Path,Flinders St (South),Elizabeth St - Flinders St (East) - New footpath,Macaulay Rd (North),Queensberry St - Errol St (South),Errol St (West),Flagstaff station (East),William St - Little Lonsdale St (West),La Trobe St - William St (South)
01/12/2022,0,118,109,399,558,481,244,na,11,37,6,3,27,na,142,na,41,20,110,46,312,na,34,134,na,144,40,119,198,269,15,undefined,na,na,368,44,27,undefined,32,32,19,na,7,220,1201,18,201,na,62,17,53,41,73,39,36,14,110,90,na,67,na,184,na,6,177,124,41,3,0,5,2,718,21,na,7,8,7,566,519,4,13,18,42,na,38
01/12/2022,1,72,37,329,453,665,150,na,8,10,2,1,13,na,395,na,40,26,94,31,272,na,22,81,na,96,25,75,499,132,11,undefined,na,na,324,30,12,undefined,9,29,3,na,1,216,1063,10,207,na,49,8,29,52,53,18,57,2,42,101,na,45,na,103,na,4,276,84,43,1,0,2,9,1617,14,na,1,7,5,725,495,na,3,7,19,na,28
01/12/2022,2,29,22,90,117,177,53,na,2,4,1,4,7,na,56,na,14,1,47,26,72,na,10,18,na,50,9,17,138,34,1,undefined,na,na,96,15,3,undefined,4,14,na,na,na,82,531,1,96,na,24,4,28,12,19,10,21,7,24,33,na,40,na,61,na,3,102,63,20,0,0,1,18,895,14,na,1,5,4,209,223,1,1,4,11,na,17
01/12/2022,3,15,22,88,130,108,32,na,1,na,na,1,5,na,20,na,21,7,24,18,61,na,5,21,na,40,6,21,82,70,3,undefined,na,na,36,21,na,undefined,na,10,4,na,1,23,406,6,47,na,24,2,17,15,8,14,6,4,12,36,na,11,na,35,na,3,33,38,12,0,0,1,na,558,15,na,na,4,na,211,158,na,3,2,8,na,31
01/12/2022,4,44,45,378,783,727,173,na,na,7,3,1,10,na,226,na,34,19,16,13,192,na,16,68,na,89,39,174,718,50,19,undefined,na,na,588,38,12,undefined,14,29,16,na,3,149,1610,1,178,na,66,10,15,33,55,24,24,3,38,94,na,40,na,73,na,10,209,69,68,1,1,5,10,1457,16,na,3,5,4,821,509,1,7,10,14,na,16
01/12/2022,5,24,22,78,95,194,159,na,22,42,14,8,17,na,122,na,49,22,17,8,29,na,47,180,na,96,19,129,51,26,8,undefined,na,na,152,25,8,undefined,17,20,17,na,2,37,260,8,96,na,31,7,16,16,33,20,23,53,96,24,na,26,na,47,6,7,51,27,32,1,0,4,2,95,35,15,5,24,7,98,145,6,6,8,23,na,44
01/12/2022,6,106,54,150,216,480,410,na,98,209,82,29,77,na,185,na,165,92,32,30,57,na,127,426,na,146,45,443,111,50,18,undefined,na,na,500,49,14,undefined,48,96,51,na,8,77,589,30,191,na,56,9,37,62,76,28,68,216,303,103,na,110,na,120,68,57,97,83,126,32,34,29,4,136,95,74,19,78,49,202,391,31,20,42,61,na,119
01/12/2022,7,212,143,231,442,1009,1020,na,267,873,123,60,159,na,392,na,476,374,58,53,120,na,360,1083,na,252,86,926,211,93,54,undefined,na,na,1085,181,32,undefined,162,170,71,na,19,245,1090,37,409,na,98,49,77,135,265,47,114,431,752,207,na,189,na,126,159,171,269,198,261,55,51,93,20,424,294,32,52,166,69,424,860,72,50,98,213,na,290
01/12/2022,8,433,412,459,999,1716,2669,na,373,2441,222,63,217,na,744,na,1399,1075,118,82,230,na,861,2238,na,361,138,1503,289,211,130,undefined,na,na,2425,449,108,undefined,327,533,163,na,42,639,2400,118,833,na,140,133,96,379,637,115,354,1137,1575,453,na,470,na,170,349,491,706,629,467,136,122,171,23,790,672,22,128,285,120,981,1834,133,85,196,331,na,671
01/12/2022,9,832,496,539,1169,1066,1402,na,243,1490,178,38,156,na,451,na,962,709,181,84,246,na,450,1464,na,498,173,1011,297,197,120,undefined,na,na,1479,343,88,undefined,316,458,156,na,36,571,2111,123,1125,na,218,191,168,322,788,108,316,905,1203,510,na,452,na,208,393,388,568,635,652,189,156,173,54,628,461,29,104,187,61,755,1349,100,79,142,290,na,438
